Z,N,spinAndParity,betaMinus(keV),massExcess(keV),bindingEnergyLDMFit(keV),bindingEnergy(keV),bindingEnergyUncertainty,bindingEnergyLDMFitUncertainty,halflife,A,I,J,parity,S,L,d,P,K,np,nn,T,BEpA,BE,semf,error_semf,dz,error_dz
10,24,0+,21200.0,52800.0,-500.0,6287.0,15,15,1,34,0.4117647058823529,0.0,1.0,0.0,0.0,1,1.3333331111111482,3.239611801277483,8,20,7.0,6.287,213.758,193.62104801322963,20.136951986770384,212.02264528824966,1.7353547117503467
10,9,1/2+,-11177.0,1752.05,142.33,7567.343,8,8,1,19,-0.05263157894736842,0.5,1.0,0.5,0.0,0,0.6666664444445185,2.668401648721945,8,8,0.5,7.567343,143.779517,144.59439278035447,-0.8148757803544697,145.4319205546146,-1.652403554614608
11,9,2+,-10627.2,6850.5,34.07,7298.5,6,6,1,20,-0.1,2.0,1.0,-0.5,2.5,-1,0.7499998125000469,2.7144176165949063,8,8,1.0,7.2985,145.97,144.90678218644052,1.0632178135594756,148.00503296937777,-2.0350329693777667
11,9,2+,-10627.2,6850.5,34.07,7298.5,6,6,1,20,-0.1,2.0,1.0,-0.5,2.5,-1,0.7499998125000469,2.7144176165949063,8,8,1.0,7.2985,145.97,144.90678218644052,1.0632178135594756,148.00503296937777,-2.0350329693777667
11,21,(3-:4-),19470.0,18640.0,-200.1,7219.9,12,12,1,32,0.3125,-1.0,-1.0,-0.5,-0.5,-1,0.7499998125000469,3.1748021039363987,8,20,5.0,7.2199,231.0368,221.78768813714512,9.249111862854875,229.94836958757696,1.0884304124230368
11,21,(3-:4-),19470.0,18640.0,-200.1,7219.9,12,12,1,32,0.3125,-1.0,-1.0,-0.5,-0.5,-1,0.7499998125000469,3.1748021039363987,8,20,5.0,7.2199,231.0368,221.78768813714512,9.249111862854875,229.94836958757696,1.0884304124230368
11,21,(3-:4-),19470.0,18640.0,-200.1,7219.9,12,12,1,32,0.3125,-1.0,-1.0,-0.5,-0.5,-1,0.7499998125000469,3.1748021039363987,8,20,5.0,7.2199,231.0368,221.78768813714512,9.249111862854875,229.94836958757696,1.0884304124230368
11,21,(3-:4-),19470.0,18640.0,-200.1,7219.9,12,12,1,32,0.3125,-1.0,-1.0,-0.5,-0.5,-1,0.7499998125000469,3.1748021039363987,8,20,5.0,7.2199,231.0368,221.78768813714512,9.249111862854875,229.94836958757696,1.0884304124230368
11,20,3/2(+),15368.0,12246.0,-94.8,7398.7,5,5,1,31,0.2903225806451613,1.5,1.0,-0.5,2.0,0,0.0,3.1413806523913927,8,20,4.5,7.3987,229.3597,223.58951455177612,5.770185448223884,228.98366367112845,0.3760363288715496
11,20,3/2(+),15368.0,12246.0,-94.8,7398.7,5,5,1,31,0.2903225806451613,1.5,1.0,-0.5,2.0,0,0.0,3.1413806523913927,8,20,4.5,7.3987,229.3597,223.58951455177612,5.770185448223884,228.98366367112845,0.3760363288715496
11,20,3/2(+),15368.0,12246.0,-94.8,7398.7,5,5,1,31,0.2903225806451613,1.5,1.0,-0.5,2.0,0,0.0,3.1413806523913927,8,20,4.5,7.3987,229.3597,223.58951455177612,5.770185448223884,228.98366367112845,0.3760363288715496
