Z,A,M
 40, 75, -14.541
 41, 75, 4.485
 42, 75,26.251
 43, 75,49.846
 44, 75,76.094
 20, 76, 146.579
 21, 76, 115.545
 22, 76,83.643
 23, 76,57.924
 24, 76,30.666
 25, 76, 9.679
 26, 76, -13.262
 27, 76, -27.364
 28, 76, -43.872
 29, 76, -51.828
 30, 76, -62.420
 31, 76, -66.210
 32, 76, -72.889
 33, 76, -72.486
 34, 76, -75.235
 35, 76, -70.612
 36, 76, -69.101
 37, 76, -59.560
 38, 76, -53.708
 39, 76, -37.313
 40, 76, -24.581
 41, 76,-3.769
 42, 76,14.006
 43, 76,39.254
 44, 76,61.475
 20, 77, 158.916
 21, 77, 126.021
 22, 77,94.426
 23, 77,66.651
 24, 77,39.935
 25, 77,16.680
 26, 77,-5.486
 27, 77, -24.528
 28, 77, -39.862
 29, 77, -50.255
 30, 77, -59.433
 31, 77, -65.968
 32, 77, -71.105
 33, 77, -73.744
 34, 77, -74.809
 35, 77, -73.519
 36, 77, -70.483
 37, 77, -64.907
 38, 77, -57.077
 39, 77, -45.844
 40, 77, -31.194
 41, 77, -14.254
 42, 77, 5.288
 43, 77,26.662
 44, 77,50.503
 20, 78, 169.762
 21, 78, 137.049
 22, 78, 103.623
 23, 78,76.281
 24, 78,47.516
 25, 78,24.921
 26, 78, 0.502
 27, 78, -17.655
 28, 78, -38.031
 29, 78, -47.062
 30, 78, -58.693
 31, 78, -63.756
 32, 78, -71.645
 33, 78, -72.685
 34, 78, -76.791
 35, 78, -73.763
 36, 78, -74.051
 37, 78, -66.910
 38, 78, -63.018
 39, 78, -51.066
 40, 78, -40.326
 41, 78, -21.503
 42, 78,-5.879
 43, 78,17.246
 44, 78,37.152
 46, 78,88.558
 20, 79, 182.528
 21, 79, 148.060
 22, 79, 114.896
 23, 79,85.598
 24, 79,57.320
 25, 79,32.561
 26, 79, 8.856
 27, 79, -11.661
 28, 79, -31.096
 29, 79, -45.280
 30, 79, -55.536
 31, 79, -63.188
 32, 79, -69.587
 33, 79, -73.508
 34, 79, -75.992
 35, 79, -76.128
 36, 79, -74.651
 37, 79, -70.954
 38, 79, -65.473
 39, 79, -57.570
 40, 79, -46.115
 41, 79, -31.097
 42, 79, -13.621
 43, 79, 5.699
 44, 79,27.321
 45, 79,50.665
 46, 79,76.489
